Symbol,BasicPrice,OpenPrice,HighPrice,LowPrice,ClosePrice,AveragePrice,Volume,AdjustPrice,Ceiling,Floor,AverageAdjustPrice,TotalValue,AgreedVolume,AgreedValue,ChangePrice
,,,,,,,,,,,,,,,
VNP,12.7,12.7,12.7,12.7,12.7,12.7,500,12.7,14.6,10.8,12.7,6350000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VNX,27,27,27,27,27,27,0,27,37.8,16.2,27,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VNY,5.9,5.9,5.9,5.9,5.9,5.9,0,5.9,6.7,5.1,5.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VPA,3.9,3.9,3.9,3.9,3.9,3.9,0,3.9,4.4,3.4,3.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VPC,2.3,2.3,2.3,2.3,2.3,2.3,0,2.3,2.6,2,2.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VPW,10,10,10,10,10,10,0,10,14,6,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VQC,14.3,14.3,14.3,14.3,14.3,14.3,0,14.3,16.4,12.2,14.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VSG,1.7,1.7,1.7,1.7,1.7,1.7,0,1.7,1.9,1.5,1.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VSN,20.2,20.2,20.2,20.2,20.2,20.2,0,20.2,23.2,17.2,20.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VST,2.8,2.8,2.8,2.8,2.8,2.8,0,2.8,3.2,2.4,2.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VTD,8,8.1,8.3,7.8,8,8,42150,8,9.2,6.8,8,331275000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VTI,4,4,4,4,4,4,0,4,4.6,3.4,4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SBL,7,7,7,7,7,7,200,7,8,6,7,1400000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TVA,11.2,11.2,11.2,11.2,11.2,11.2,0,11.2,12.8,9.6,11.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TTS,9.2,9.2,9.2,9.2,9.2,9.2,0,9.2,10.5,7.9,9.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SNC,20,20,20,20,20,20,0,20,23,17,20,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SP2,16.5,16.5,16.5,16.5,16.5,16.5,0,16.5,18.9,14.1,16.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SPB,23,23,23,23,23,23,0,23,26.4,19.6,23,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SPD,8,8,8,8,8,8,0,8,9.2,6.8,8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SPH,10,10,10,10,10,10,0,10,14,6,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SQC,7.4,7.4,7.4,7.4,7.4,7.4,0,7.4,8.5,6.3,7.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SSN,1.3,1.3,1.3,1.3,1.3,1.3,0,1.3,1.4,1.2,1.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
STS,37,37,37,37,37,37,0,37,51.8,22.2,37,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
STT,1.8,1.8,1.8,1.8,1.8,1.8,0,1.8,2,1.6,1.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
STW,26.5,26.5,26.5,26.5,26.5,26.5,0,26.5,37.1,15.9,26.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SVG,4.9,4.9,4.9,4.9,4.9,4.9,0,4.9,5.6,4.2,4.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SVH,6,6,6,6,6,6,0,6,8.4,3.6,6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SZG,32.6,32.6,32.6,32.6,32.6,32.6,0,32.6,37.4,27.8,32.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TA3,5.4,5.4,5.4,5.4,5.4,5.4,0,5.4,7.5,3.3,5.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TA6,6.5,6.5,6.5,6.5,6.5,6.5,0,6.5,7.4,5.6,6.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TAN,39.7,39.7,39.7,39.7,39.7,39.7,0,39.7,55.5,23.9,39.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TAW,11.3,11.3,11.3,11.3,11.3,11.3,0,11.3,12.9,9.7,11.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SJC,4.8,4.8,4.8,4.8,4.8,4.8,0,4.8,5.5,4.1,4.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TB8,11.5,11.5,11.5,11.5,11.5,11.5,0,11.5,16.1,6.9,11.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SIV,34.3,34.3,34.3,34.3,34.3,34.3,0,34.3,39.4,29.2,34.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SHG,2.3,2.3,2.3,2.3,2.3,2.3,0,2.3,2.6,2,2.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SBR,7.2,7.2,7.2,7.2,7.2,7.2,0,7.2,8.2,6.2,7.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SBS,6.7,6.8,6.8,6.5,6.7,6.7,550224,6.7,7.7,5.7,6.7,3638650800,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SCC,2.3,2.3,2.3,2.3,2.3,2.3,0,2.3,2.6,2,2.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SCO,5.2,5.2,5.2,5.2,5.2,5.2,0,5.2,5.9,4.5,5.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SCY,12,12,12,12,12,11.6196,0,11.6196,13.8,10.2,11.6196,0,0,0,-0.38 (-3.17 %)
,,,,,,,,,,,,,,,
SD2,4.3,4.3,4.3,4.3,4.3,4.3,0,4.3,4.9,3.7,4.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SD3,6.7,6.7,6.7,6.7,6.7,6.7,0,6.7,7.7,5.7,6.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SD7,3.4,3.4,3.4,3.4,3.4,3.4,0,3.4,3.9,2.9,3.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SDD,1.9,1.9,1.9,1.9,1.9,1.9,75579,1.9,2.1,1.7,1.9,143592200,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SDJ,3.1,3.1,3.1,3.1,3.1,3.1,0,3.1,3.5,2.7,3.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SDK,23.5,23.5,23.5,23.5,23.5,23.5,0,23.5,27,20,23.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SDP,1.1,1.1,1.1,1.1,1.1,1.1,0,1.1,1.2,1,1.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SDY,1.1,1.1,1.1,1.1,1.1,1.1,0,1.1,1.2,1,1.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SEA,30,30,30,30,30,30,0,30,34.5,25.5,30,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SEP,33.9,33.9,33.9,33.9,33.9,33.9,0,33.9,38.9,28.9,33.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SGB,13.3,13.2,13.5,13,13.3,13.3,6903,13.3,15.2,11.4,13.3,91720200,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SGS,17.1,17.1,17.1,17.1,17.1,17.1,0,17.1,19.6,14.6,17.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SII,16.6,16.6,16.6,16.6,16.6,16.6,0,16.6,19,14.2,16.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TV6,7.5,7.5,7.5,7.5,7.5,7.5,300,7.5,8.6,6.4,7.5,2250000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TBD,94.7,94.7,94.7,94.7,94.7,94.7,0,94.7,108.9,80.5,94.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TBR,7.9,7.9,7.9,7.9,7.9,7.9,0,7.9,9,6.8,7.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TNB,13.5,13.5,13.5,13.5,13.5,13.5,0,13.5,18.9,8.1,13.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TNP,23.8,23.8,23.8,23.8,23.8,23.8,0,23.8,27.3,20.3,23.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TNS,3.4,3.4,3.4,3.4,3.4,3.4,0,3.4,3.9,2.9,3.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TNW,11.5,11.5,11.5,11.5,11.5,11.5,0,11.5,13.2,9.8,11.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TOP,1.2,1.2,1.2,1.2,1.2,1.2,0,1.2,1.3,1.1,1.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TOW,18,18,18,18,18,18,0,18,20.7,15.3,18,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TPS,15,15,15,15,15,15,0,15,21,9,15,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TQN,21.1,21.1,21.1,21.1,21.1,21.1,0,21.1,29.5,12.7,21.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TQW,8.8,8.8,8.8,8.8,8.8,8.8,0,8.8,12.3,5.3,8.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TR1,14,14,14,14,14,14,2,14,16.1,11.9,14,31000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TRS,37,37,37,37,37,37,0,37,42.5,31.5,37,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TRT,10.8,10.8,10.8,10.8,10.8,10.8,0,10.8,15.1,6.5,10.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TSG,13.5,13.5,13.5,13.5,13.5,13.5,700,13.5,15.5,11.5,13.5,9450000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TSJ,24.5,24.5,24.5,24.5,24.5,24.5,0,24.5,28.1,20.9,24.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TST,4.1,4.1,4.1,4.1,4.1,4.1,0,4.1,4.7,3.5,4.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TTD,77.5,77.5,77.5,77.5,77.5,77.5,0,77.5,89.1,65.9,77.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TTG,15.2,15.2,15.2,15.2,15.2,15.2,0,15.2,17.4,13,15.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TMW,18,18,18,18,18,18,0,18,20.7,15.3,18,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TBH,11.6,11.6,11.6,11.6,11.6,11.6,0,11.6,13.3,9.9,11.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TMG,57.3,57.3,57.3,57.3,57.3,57.3,0,57.3,65.8,48.8,57.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TLI,5.7,6.1,6.1,5.7,5.7,5.7,500,5.7,6.5,4.9,5.7,2890000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TBW,15.2,15.2,15.2,15.2,15.2,15.2,0,15.2,21.2,9.2,15.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TCJ,4,4,4,4,4,4,0,4,4.6,3.4,4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TCK,3.9,3.9,3.9,3.9,3.9,3.9,0,3.9,5.4,2.4,3.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TCW,29.1,29.1,29.1,29.1,29.1,29.1,7039,29.1,33.4,24.8,29.1,204831000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TDB,39.6,39.6,39.6,39.6,39.6,39.6,500,39.6,45.5,33.7,39.6,19800000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TDF,16.2,16.2,16.2,16.2,16.2,16.2,0,16.2,18.6,13.8,16.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TGP,4.8,4.8,4.8,4.8,4.8,4.8,0,4.8,5.5,4.1,4.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TH1,4.3,4.3,4.3,4.3,4.3,4.3,0,4.3,4.9,3.7,4.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
THN,4.4,4.4,4.4,4.4,4.4,4.4,0,4.4,5,3.8,4.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
THP,7.3,7.3,7.3,7.3,7.3,7.3,0,7.3,8.3,6.3,7.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
THU,7,7,7,7,7,7,0,7,9.8,4.2,7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
THW,9.1,9.1,9.1,9.1,9.1,9.1,0,9.1,10.4,7.8,9.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TID,23.4,23.4,23.6,23.4,23.4,23.4,20029,23.4,26.9,19.9,23.4,469558600,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TIN,10.7,10.7,10.7,10.7,10.7,10.7,0,10.7,12.3,9.1,10.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TIS,4.1,4.2,4.2,4.1,4.1,4.1,13500,4.1,4.7,3.5,4.1,56000000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TKA,4.7,4.7,4.7,4.7,4.7,4.7,0,4.7,6.5,2.9,4.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TL4,6.3,6.3,6.3,6.3,6.3,6.3,0,6.3,7.2,5.4,6.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TLT,13.9,13.9,13.9,13.9,13.9,13.9,0,13.9,15.9,11.9,13.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
MRF,28.5,28.5,28.5,28.5,28.5,28.5,1,28.5,32.7,24.3,28.5,29000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
MIE,5.8,5.8,5.8,5.8,5.8,5.8,0,5.8,6.6,5,5.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
MQB,9,9,9,9,9,9,0,9,12.6,5.4,9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DCH,10.1,10.1,10.1,10.1,10.1,10.1,0,10.1,14.1,6.1,10.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DCR,6.1,6.1,6.1,6.1,6.1,6.1,0,6.1,7,5.2,6.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DCS,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.6,0.4,0.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DCT,0.7,0.7,0.7,0.7,0.7,0.7,0,0.7,0.8,0.6,0.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DDH,16.5,16.5,16.5,16.5,16.5,16.5,0,16.5,23.1,9.9,16.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DDM,1.3,1.3,1.3,1.3,1.3,1.3,0,1.3,1.4,1.2,1.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DFC,19.5,19.5,19.5,19.5,19.5,19.5,100,19.5,22.4,16.6,19.5,1950000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DCG,18.7,18.7,18.7,18.7,18.7,18.7,0,18.7,21.5,15.9,18.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DFF,10,10,10,10,10,10,0,10,11.5,8.5,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DIC,1.1,1.1,1.1,1.1,1.1,1.1,0,1.1,1.2,1,1.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DKC,1.8,1.8,1.8,1.8,1.8,1.8,0,1.8,2.5,1.1,1.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DLD,6.4,6.4,6.4,6.4,6.4,6.4,0,6.4,8.9,3.9,6.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DLR,11.9,11.9,11.9,11.9,11.9,11.9,0,11.9,13.6,10.2,11.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DLT,8.6,8.6,8.6,8.6,8.6,8.6,0,8.6,9.8,7.4,8.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DM7,20.7,20.7,20.7,20.7,20.7,20.7,0,20.7,23.8,17.6,20.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DNA,24.1,24.1,24.1,24.1,24.1,24.1,0,24.1,27.7,20.5,24.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DHN,21,21,21,21,21,21,2300,21,24.1,17.9,21,48300000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DCF,42.5,42.5,42.5,42.5,42.5,42.5,0,42.5,48.8,36.2,42.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DAS,14.5,14.5,14.5,14.5,14.5,14.5,0,14.5,16.6,12.4,14.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DAN,30.4,30.4,30.4,30.4,30.4,30.4,0,30.4,34.9,25.9,30.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CLG,0.6,0.6,0.6,0.6,0.6,0.6,0,0.6,0.7,0.5,0.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CMF,223,223,223,223,223,223,0,223,256.4,189.6,223,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CMI,1.2,1.2,1.2,1.2,1.2,1.2,0,1.2,1.3,1.1,1.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CMK,8.8,8.8,8.8,8.8,8.8,8.8,0,8.8,12.3,5.3,8.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CMN,77.4,77.4,77.4,77.4,77.4,77.4,0,77.4,108.3,46.5,77.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CMP,8.1,8.1,8.1,8.1,8.1,8.1,0,8.1,11.3,4.9,8.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CNA,43.9,43.9,43.9,43.9,43.9,43.9,0,43.9,61.4,26.4,43.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CNN,40,40,40,40,40,40,0,40,46,34,40,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CNT,19,18.5,19,18.5,19,19,1550,19,21.8,16.2,19,28881400,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CPA,6.1,6.1,6.1,6.1,6.1,6.1,100,6.1,7,5.2,6.1,610000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CPH,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.4,0.2,0.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CPI,3.4,3.4,3.4,3.4,3.4,3.4,0,3.4,3.9,2.9,3.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CT3,7.3,7.3,7.3,7.3,7.3,7.3,0,7.3,10.2,4.4,7.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CTW,20.6,20.6,20.6,20.6,20.6,20.6,0,20.6,23.6,17.6,20.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CYC,3.3,3.3,3.3,3.3,3.3,3.3,0,3.3,3.7,2.9,3.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
D17,50.2,50.2,50.2,50.2,50.2,50.2,0,50.2,57.7,42.7,50.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DAC,7.4,7.4,7.4,7.4,7.4,7.4,0,7.4,10.3,4.5,7.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DND,16,16,16,16,16,16,0,16,18.4,13.6,16,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
CKD,23.5,23.5,23.5,23.5,23.5,23.5,100,23.5,27,20,23.5,2350000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DNE,8.6,8.6,8.6,8.6,8.6,8.6,400,8.6,9.8,7.4,8.6,3440000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DNN,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.3,0.1,0.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
E29,6,6,6,6,6,6,0,6,6.9,5.1,6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
EFI,1.7,1.7,1.7,1.7,1.7,1.7,0,1.7,1.9,1.5,1.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
EIN,3.4,3.5,3.5,3.3,3.4,3.4,21196,3.4,3.9,2.9,3.4,71525400,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
EME,27.3,27.3,27.3,27.3,27.3,27.3,0,27.3,31.3,23.3,27.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
EMG,17.9,17.9,17.9,17.9,17.9,17.9,0,17.9,25,10.8,17.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
EPC,8.5,8.5,8.5,8.5,8.5,8.5,0,8.5,9.7,7.3,8.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
EPH,13.9,13.9,13.9,13.9,13.9,13.9,300,13.9,15.9,11.9,13.9,4170000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
E12,6.4,6.4,6.4,6.4,6.4,6.4,0,6.4,7.3,5.5,6.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
FBC,3.7,3.7,3.7,3.7,3.7,3.7,0,3.7,5.1,2.3,3.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
FCS,7.2,7.3,7.3,7.2,7.2,7.2,200,7.2,8.2,6.2,7.2,1450000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
FGL,11,11,11,11,11,11,0,11,12.6,9.4,11,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
FHN,14.4,14.4,14.4,14.4,14.4,14.4,0,14.4,20.1,8.7,14.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
FRM,2.9,2.9,2.9,2.9,2.9,2.9,0,2.9,3.3,2.5,2.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
FSO,11,11,11,11,11,11,0,11,15.4,6.6,11,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
FT1,42,42,42,42,42,42,1000,42,48.3,35.7,42,42000000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
FTI,3.7,3.7,3.7,3.7,3.7,3.7,0,3.7,5.1,2.3,3.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
FCC,10,10,10,10,10,10,0,10,14,6,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DXL,8.2,8.2,8.2,8.2,8.2,8.2,0,8.2,9.4,7,8.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DWS,12.5,12.5,12.5,12.5,12.5,12.5,0,12.5,14.3,10.7,12.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DVW,20,20,20,20,20,20,0,20,28,12,20,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DNT,33.9,33.9,33.9,33.9,33.9,33.9,0,33.9,38.9,28.9,33.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DOC,8.5,8.5,8.5,8.5,8.5,8.5,0,8.5,9.7,7.3,8.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DOP,14.9,14.9,14.9,14.9,14.9,14.9,0,14.9,17.1,12.7,14.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DP2,4.8,4.8,4.8,4.8,4.8,4.8,0,4.8,5.5,4.1,4.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DPH,34.8,34.8,34.8,34.8,34.8,34.8,0,34.8,40,29.6,34.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DPP,22.7,22.7,22.7,22.7,22.7,22.7,0,22.7,26.1,19.3,22.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DPS,0.4,0.4,0.4,0.4,0.4,0.4,0,0.4,0.5,0.3,0.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DSD,20,20,20,20,20,20,0,20,23,17,20,0,57300,1146000000,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DSP,11,11,11,11,11,11,0,11,12.6,9.4,11,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DSV,7.9,7.9,7.9,7.9,7.9,7.9,0,7.9,11,4.8,7.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
DTB,11.5,11.5,11.5,11.5,11.5,11.5,0,11.5,13.2,9.8,11.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
